food,calories,protein,carbohydrates,fat
"apples, fuji, with skin, raw",65.0,0.15,15.7,0.16
"apples, gala, with skin, raw",61.0,0.13,14.8,0.15
"apples, granny smith, with skin, raw",59.0,0.27,14.2,0.14
"apples, honeycrisp, with skin, raw",60.0,0.1,14.7,0.1
"apples, red delicious, with skin, raw",258.0,0.19,14.8,0.21
"bananas, overripe, raw",85.0,0.73,20.1,0.22
"bananas, ripe and slightly ripe, raw",97.0,0.74,23.0,0.29
"beans, snap, green, canned, regular pack, drained solids",86.0,1.04,4.11,0.39
"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0,27.7,0.0,6.36
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",648.0,22.8,0.0,6.39
"beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",512.0,23.4,0.0,2.48
"beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",514.0,23.7,0.0,2.41
"beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,22.7,0.0,5.32
"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",918.0,27.3,0.0,11.4
"bread, white, commercially prepared",1130.0,9.43,49.2,3.59
"bread, whole-wheat, commercially prepared",1060.0,12.3,43.1,3.55
"broccoli, raw",132.0,2.57,6.29,0.34
"carrots, frozen, unprepared",153.0,0.81,7.92,0.47
"carrots, frozen, unprepared (includes foods for usda's food distribution program)",37.0,0.81,7.92,0.47
"cheese, american, restaurant",1570.0,17.5,6.35,31.1
"cheese, cheddar",408.0,23.3,2.44,34.0
"cheese, cottage, lowfat, 2% milkfat",84.0,11.0,4.31,2.3
"cheese, dry white, queso seco",326.0,24.5,2.07,24.3
"cheese, mozzarella, low moisture, part-skim",1240.0,23.7,4.44,20.4
"cheese, parmesan, grated",421.0,29.6,12.4,28.0
"cheese, pasteurized process, american, vitamin d fortified",366.0,18.0,5.27,30.6
"cheese, ricotta, whole milk",157.0,7.81,6.86,11.0
"cheese, swiss",1640.0,27.0,1.44,31.0
"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",695.0,32.1,0.0,3.24
"chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,23.9,0.0,5.95
"cookies, oatmeal, soft, with raisins",1800.0,5.79,69.6,14.3
"egg, white, dried",376.0,79.9,6.02,0.65
"egg, white, raw, frozen, pasteurized",201.0,10.1,0.74,0.16
"egg, whole, dried",575.0,48.1,1.87,39.8
"egg, whole, raw, frozen, pasteurized",150.0,12.3,0.91,10.3
"egg, yolk, dried",2740.0,34.2,1.07,55.5
"egg, yolk, raw, frozen, pasteurized",1240.0,15.6,0.59,25.1
"eggs, grade a, large, egg white",55.0,10.7,2.36,0.0
"eggs, grade a, large, egg whole",617.0,12.4,0.96,9.96
"eggs, grade a, large, egg yolk",1400.0,16.2,1.02,28.8
"figs, dried, uncooked",1040.0,3.3,63.9,0.92
"fish, haddock, raw",74.0,16.3,0.0,0.45
"fish, pollock, raw",56.0,12.3,0.0,0.41
"fish, tuna, light, canned in water, drained solids",376.0,19.0,0.08,0.94
"flour, bread, white, enriched, unbleached",1520.0,14.3,72.8,1.65
